time,open,high,low,close,volume
2026-01-04 15:02:00,135.21,135.3,135.07,135.08,3832.619
2026-01-04 15:03:00,135.09,135.18,135.07,135.15,2687.191
2026-01-04 15:04:00,135.15,135.21,135.06,135.07,1674.105
2026-01-04 15:05:00,135.07,135.12,134.97,135.0,817.231
2026-01-04 15:06:00,135.0,135.12,135.0,135.07,717.794
2026-01-04 15:07:00,135.07,135.16,135.07,135.15,852.196
2026-01-04 15:08:00,135.16,135.19,135.08,135.13,3285.145
2026-01-04 15:09:00,135.13,135.13,135.05,135.1,3204.316
2026-01-04 15:10:00,135.11,135.17,135.1,135.11,1083.982
2026-01-04 15:11:00,135.11,135.11,135.05,135.06,1224.895
2026-01-04 15:12:00,135.06,135.22,135.06,135.19,2528.566
2026-01-04 15:13:00,135.18,135.28,135.16,135.23,1327.98
2026-01-04 15:14:00,135.22,135.32,135.19,135.28,1933.031
2026-01-04 15:15:00,135.28,135.34,135.21,135.34,1047.973
2026-01-04 15:16:00,135.34,135.35,135.22,135.26,1052.853
2026-01-04 15:17:00,135.26,135.26,135.21,135.22,814.644
2026-01-04 15:18:00,135.21,135.27,135.14,135.14,2559.503
2026-01-04 15:19:00,135.15,135.25,135.14,135.22,476.268
2026-01-04 15:20:00,135.22,135.31,135.17,135.3,638.12
2026-01-04 15:21:00,135.31,135.32,135.28,135.3,1322.179
2026-01-04 15:22:00,135.3,135.3,135.16,135.17,1130.79
2026-01-04 15:23:00,135.16,135.31,135.16,135.3,3780.74
2026-01-04 15:24:00,135.31,135.31,135.19,135.2,8988.495
2026-01-04 15:25:00,135.21,135.21,135.08,135.15,994.87
2026-01-04 15:26:00,135.15,135.19,135.13,135.14,1003.206
2026-01-04 15:27:00,135.14,135.17,135.14,135.15,707.179
2026-01-04 15:28:00,135.15,135.15,135.09,135.09,1388.31
2026-01-04 15:29:00,135.09,135.24,135.09,135.24,3590.247
2026-01-04 15:30:00,135.24,135.27,135.15,135.16,1002.18
2026-01-04 15:31:00,135.16,135.22,135.15,135.21,462.496
2026-01-04 15:32:00,135.22,135.22,135.15,135.18,909.434
2026-01-04 15:33:00,135.18,135.25,135.18,135.2,573.46
2026-01-04 15:34:00,135.2,135.2,135.04,135.05,1378.973
2026-01-04 15:35:00,135.05,135.15,135.05,135.11,554.426
2026-01-04 15:36:00,135.11,135.13,135.03,135.06,634.385
2026-01-04 15:37:00,135.06,135.06,134.87,134.87,5469.933
2026-01-04 15:38:00,134.87,134.9,134.76,134.79,3290.568
2026-01-04 15:39:00,134.8,134.83,134.72,134.77,3634.641
2026-01-04 15:40:00,134.77,134.87,134.76,134.84,1478.529
2026-01-04 15:41:00,134.84,134.84,134.82,134.83,672.767
2026-01-04 15:42:00,134.84,134.86,134.78,134.79,327.948
2026-01-04 15:43:00,134.79,134.8,134.68,134.69,1633.776
2026-01-04 15:44:00,134.69,134.7,134.66,134.69,584.16
2026-01-04 15:45:00,134.7,134.7,134.3,134.36,3238.744
2026-01-04 15:46:00,134.37,134.46,134.3,134.36,4223.298
2026-01-04 15:47:00,134.36,134.42,134.29,134.34,1718.808
2026-01-04 15:48:00,134.34,134.45,134.34,134.37,2302.747
2026-01-04 15:49:00,134.38,134.46,134.38,134.46,878.683
2026-01-04 15:50:00,134.45,134.47,134.36,134.4,2252.739
2026-01-04 15:51:00,134.39,134.65,134.39,134.64,1550.607
2026-01-04 15:52:00,134.65,134.79,134.65,134.78,3355.474
2026-01-04 15:53:00,134.78,134.79,134.69,134.71,11188.313
2026-01-04 15:54:00,134.71,134.74,134.69,134.72,2641.799
2026-01-04 15:55:00,134.73,134.74,134.69,134.7,420.228
2026-01-04 15:56:00,134.7,134.73,134.7,134.71,684.182
2026-01-04 15:57:00,134.71,134.72,134.68,134.71,861.877
2026-01-04 15:58:00,134.71,134.85,134.7,134.84,2021.983
2026-01-04 15:59:00,134.85,134.93,134.85,134.91,363.942
2026-01-04 16:00:00,134.91,134.93,134.75,134.92,3213.108
2026-01-04 16:01:00,134.92,135.08,134.92,135.07,1566.762
2026-01-04 16:02:00,135.07,135.13,135.05,135.08,2676.237
2026-01-04 16:03:00,135.09,135.25,135.09,135.2,2180.882
2026-01-04 16:04:00,135.2,135.27,135.15,135.26,1815.26
2026-01-04 16:05:00,135.26,135.54,135.26,135.44,6147.004
2026-01-04 16:06:00,135.45,135.49,135.22,135.36,4008.818
2026-01-04 16:07:00,135.35,135.42,135.14,135.15,1983.362
2026-01-04 16:08:00,135.15,135.2,134.98,135.02,4100.577
2026-01-04 16:09:00,135.01,135.15,135.01,135.15,2132.187
2026-01-04 16:10:00,135.15,135.2,135.05,135.09,696.926
2026-01-04 16:11:00,135.08,135.17,135.07,135.12,659.261
2026-01-04 16:12:00,135.12,135.13,135.12,135.13,206.069
2026-01-04 16:13:00,135.12,135.16,135.1,135.11,1083.289
2026-01-04 16:14:00,135.12,135.12,135.05,135.08,602.102
2026-01-04 16:15:00,135.09,135.13,135.02,135.09,788.106
2026-01-04 16:16:00,135.09,135.23,135.08,135.23,779.346
2026-01-04 16:17:00,135.22,135.24,135.08,135.09,1042.109
2026-01-04 16:18:00,135.09,135.15,134.89,134.9,1617.863
2026-01-04 16:19:00,134.89,134.99,134.89,134.97,1276.556
2026-01-04 16:20:00,134.97,135.18,134.91,135.17,2003.265
2026-01-04 16:21:00,135.18,135.25,135.13,135.19,1189.971
2026-01-04 16:22:00,135.18,135.25,135.1,135.11,453.801
2026-01-04 16:23:00,135.1,135.15,135.03,135.05,1229.14
2026-01-04 16:24:00,135.04,135.14,135.04,135.12,424.448
2026-01-04 16:25:00,135.11,135.11,134.97,134.97,925.973
2026-01-04 16:26:00,134.97,134.97,134.83,134.85,717.981
2026-01-04 16:27:00,134.86,134.93,134.86,134.92,266.896
2026-01-04 16:28:00,134.93,134.93,134.89,134.9,596.248
2026-01-04 16:29:00,134.9,134.92,134.89,134.91,352.474
2026-01-04 16:30:00,134.92,134.92,134.8,134.82,633.586
2026-01-04 16:31:00,134.81,134.86,134.81,134.82,587.644
2026-01-04 16:32:00,134.82,134.99,134.82,134.98,744.868
2026-01-04 16:33:00,134.98,135.07,134.98,135.02,516.598
2026-01-04 16:34:00,135.01,135.34,135.01,135.32,3249.922
2026-01-04 16:35:00,135.32,135.37,135.22,135.22,1027.956
2026-01-04 16:36:00,135.23,135.23,135.07,135.16,964.142
2026-01-04 16:37:00,135.15,135.29,135.14,135.23,1947.636
2026-01-04 16:38:00,135.22,135.23,135.16,135.18,561.05
2026-01-04 16:39:00,135.18,135.22,135.07,135.13,2057.802
2026-01-04 16:40:00,135.12,135.13,135.05,135.12,1012.868
2026-01-04 16:41:00,135.13,135.13,135.04,135.06,579.353
2026-01-04 16:42:00,135.06,135.06,135.0,135.02,578.474
2026-01-04 16:43:00,135.02,135.06,135.01,135.05,750.009
2026-01-04 16:44:00,135.04,135.08,135.04,135.05,238.33
2026-01-04 16:45:00,135.06,135.22,135.06,135.22,375.889
2026-01-04 16:46:00,135.22,135.23,135.17,135.2,203.183
2026-01-04 16:47:00,135.2,135.21,135.11,135.11,449.856
2026-01-04 16:48:00,135.1,135.17,135.1,135.16,828.967
2026-01-04 16:49:00,135.16,135.16,135.03,135.09,1918.025
2026-01-04 16:50:00,135.09,135.09,135.02,135.04,644.916
2026-01-04 16:51:00,135.04,135.07,135.03,135.07,447.29
2026-01-04 16:52:00,135.06,135.11,135.06,135.1,979.082
2026-01-04 16:53:00,135.11,135.12,135.09,135.11,191.993
2026-01-04 16:54:00,135.11,135.12,135.09,135.11,321.722
2026-01-04 16:55:00,135.12,135.12,135.02,135.03,652.419
2026-01-04 16:56:00,135.04,135.09,135.04,135.09,464.412
2026-01-04 16:57:00,135.09,135.16,135.09,135.14,383.799
2026-01-04 16:58:00,135.13,135.13,135.09,135.1,180.339
